score,text,klasifikasi
-5,wfh lamalama bikin psikis orang buruk ya sensitif sensitif berani berontak lepas stres rumah,Negatif
-1,ya mah neng sok wfh,Negatif
0,assshhhh embuh jare wis berlaku wfh iki ngmgke wfh ,Netral
0,tenang dok logika wfh masyarakat ngunyah rumah asin manis masuk hipertensi dm kendali stroke,Netral
-1,ya podo wae sungguh wfh stres guru orangtua,Negatif
-1,betuldipotong iur covid jugasudah jam kerja beban kerja patungan bansos covid gawai nas regulator wfh,Negatif
-2,perang dunia selesai prajurit medan perang bangun rumah tangga lahir sekal anak jam anakanak baby boomers generasi anakanak lahir karantina corona wfh ,Negatif
0,whaaaat wfh duduk sila kabar pinggang,Netral
-1, wfh kali masuk kantor jalan cibubur jakarta rame kayak alhamdulillah orang lihat pakai masker moga allah lindung amin,Negatif
1, dibutuhin karantina tuh kuota internet wfhstreamingbrowsing dll pilih kuota irit cui biar bikin kantong jebol pilih xtra kuota xl bayar gb terima kasih xl xl deh bikin irit,Positif
-2,damn lupa is a almasih wfh wkwkwkwkwkkw apaapa ya besok kerja haha,Negatif
1, persis nyata bos pln media wfh dalih normal meingkatnya pemakaian lapang realitas bro tingkat pemakaian signifikan tagih x lipat,Positif
0,imbau wfh pln dalih naikin tagih listrik mindblowing move,Netral
1,yakkk training jam jam mlm wfh upgrade ilmu tumbuh tugas tantang amin,Positif
-1,ye weh cuti esok wig raya penat gila wfh cuti kerja,Negatif
0,hahahahahaha apaapa kak tabung wfh,Netral
-1,wfh negara maju kondom alat kontrasepsi tingkat budaya beli kondom malu ya,Negatif
0,me besok masuk kantor orang doang masuk wfh curhat mama by phone mama syukur nak kerja diphk garagara corona,Netral
0,hhhhmmmmmpppphhhhh titik jenuh wfh,Netral
0, wfh orangorang bego viral minimal trending topic twitter ajak kolab youtuber kenal viral buoss,Netral
1,kadang mikir berkat pandemi sibuk wfh anakanak kuliah online caption fotofoto endorse dll,Positif
-2, bi tutup ya herman huhuhu masuk wfh wfo wfo au ah gelap,Negatif
0,yawla wfh lembur ,Netral
-1, libur isi absen wfh,Negatif
0, wfh ngantor,Netral
-2,ya simplenya proses atur lindung anggar ring potensi beban kerja tegak atur tinggal kantor a oh oknum maret wfh homebase,Negatif
0,ooo wfh ira wfo ,Netral
0, wfh,Netral
0,min wfh,Netral
0,woy min no id nama refi wfh ,Netral
-1,injury time wfh juni kali makan gaji buta besok enak ,Negatif
0,snizen wfh inspektorat bsn laku kembang kompetensi personil apip kembang kompetensi laku giat didik kantor pks online giat pks,Netral
1,selamat pagi snizen penasaran inspektorat bsn work from home wfh inspektorat bsn kinerja lho dukung himbauan pemerintah kait cegah sebar,Positif
0, nak je bang pe scene kat cite crash landing on you kang pasal raya kat uma sewa sok nak nak ye je wfh duk uma mak,Netral
0,makayla wfh mbul kendali,Netral
0, ju perwfhan tanggal merah kerja kerja tanggal merah,Netral
-2,a b ngobrol giat wfh tibatiba a kantor ang turun thr b alun tau lai ang b patang den caliak masuak indak tau thr gaji a b lapeh galak,Negatif
-1, minggu sekal masuk kantor langsung full gua anak probation masuk minggu langsung full wfh ,Negatif
0,kerja kat area sengkang wfh,Netral
1,lihat angka positif covid bikin lemes kudu wfh kangen makan udon pulaaa please diam rumah,Positif
0,plis brain pakai muak wfh ,Netral
0,rutinitas wfh pagi bangunmasih rebah meeting zoom ngerjain academy done tidur ,Netral
-2, asa wfh ramadhan bentar lebaran kerja wfh jam gin pandang data good night,Negatif
-6, kasihan lihat orang wfh sfh mikir teh stres rumah rumah rumah stres,Negatif
-1,yeke korang wfh i better jela rumah duduk ,Negatif
3,jam serba wfh coba beli tolak angin alfamart temanteman ronda kode unik beli masuk biar rejeki ramadhan sekal beli untung kuraih,Positif
0,tugas twitter pusat wfh maksimal boy,Netral
-4, tenaga sehat mbak mas istirahat ganti wfh mudik urus orangorang bandel entar kena corona salah orang ,Negatif
0,hahahaha no i masak yela wfh unless business haritu wfh kejap je kerja i kena pakai internal server soo kena masuk office how mine eh banking sector hectic sab crisis ,Netral
-1,akibat wfh nge cat rumah jam gin mesti deh ngntokkk,Negatif
0,wfh ku penuh lek ngene,Netral
-2,sabar ya wfh pon nampakkan anak derhaka kerja dkt rumah kerja dkt ofis eee,Negatif
0,plissssssssssss biar cepat kelar wabah tolong himbauan pemerintah dicuekin tolong himbauan ulamayang bijaksana sepele,Netral
1,luv kak naj alhamdulillah rezeki orangorang trend semenjak wfh duit ongkos kantorbeli makan siang duit dialihin hampers,Positif
-1,tenang wfh privasi jam kerja kayak simsimi privasi kantor isi pindah rumah orng ambil dokumen dll rumah syukur kerja ,Negatif
-2, kantor jakarta wfh kantor buka juni juli bekas depok korban,Negatif
-2, putus kemarin wfh ya tibatiba horny langsung eksekusi,Negatif
0, wfh selasa kerja ,Netral
-1, suki faci baca pikir kemarin habis lihat tiktok orangorang bikin jjigae tibatiba idam kasih dimsum jumi pengin dimsum beli bahan terima kasih guys iya bingung wfh makan,Negatif
0, ,Netral
0, ulama ramadhan ,Netral
0, ulama media ,Netral
-2,bangun sempit dangkal ,Negatif
-1,puji tuhan besok wfh wfo wfh anteng rumah was,Negatif
-1, wfh tuh kayak kenal tautau pagi tautau misuh dimintain tolong wlwl,Negatif
0, engah kemarin genap wfh,Netral
0, sabar info wfh ,Netral
1, pandemi makannyemilnya lengkap wfhnugasnetflixnge drakor suka nyemilmakan manis asin gurih ,Positif
0,kannnn hahaha same here if i wfh i hantar hati,Netral
0,sek wfh r,Netral
-1,wfo kian wfh abistu ya wfh ,Negatif
-1,lamo deh terperangkap dngn wfh,Negatif
0, jadwal kerja beli dekorasi ruang kerja,Netral
0,wfh enggaaa,Netral
0,iya beb wfh zoom meeting ,Netral
-1, peringkat jateng oh ya allah wfh sfh bunga tidur ,Negatif
0,tenannnnn anti wfh anti libur,Netral
-1,kutip dosen kadang suka lupa tanggak efek wfh,Negatif
0, alhamdulillah hahaha wfh kaya besok kerja lupa haha,Netral
-1, saksi wfh tuh kerja bingung bikin hesteg,Negatif
0,wfh kak ,Netral
-1,yakaaaan wfh ya hahahah,Negatif
-1,wfh berat badan segitu ,Negatif
0,suai edar besok gawai bumn masuk tugas bikin jadwal wfh unit besok masuk yaudah tuker masuk jadwal ku blast langsung japri wfh ya uwu,Netral
0,iya iya habis wfh entar lamar,Netral
-2,tolong follow up ya pemerintah mual longgar batas wfo wfh,Negatif
-1, kpk terbit buku judul gratifikasi perspektif agama buku ulas detail kena gratifikasi pandang agama koleksi buku wfh unduh ,Negatif
0,wfh mandi cana,Netral
0,wfh aeeelahhhhh,Netral
-1,haha ya lu lockdown wfh habis lebaran nyicil ,Negatif
0,indonesia barubaru wfh corona ,Netral
-1, non wfh motor jalan,Negatif
0, wfh udahala bayar cicil wkwkkw lo wfh ,Netral
0,kid wfh maling barang ,Netral
-2, surat edar ganti wfh cuti nyimpulin bos main fwd no caption,Negatif
-1, lo kerja dagdigdug hati takut kena corona pakai masker cuci tang pakai handgloves susah kali bantuin teller itung uang pengin wfh wfh ndese keluaaarr beli baju lebaran kumpul dikeramaian adaaaa otaaak kali,Negatif
0, besok wfh,Netral
-1, wfh auto play lagu neng nik pisau lipat,Negatif
0, wfh bangun tidur melek mikir tidur repeat again,Netral
2,eh maaf related loh jam malam suruh ngitungin angka sales kadang jam malam suruh tarik data efek wfh,Positif
-1, lho rumah masuk masuk kantor langsung wfh kangen pacar ku kangen teman teman ku kangen nongkrong pengin masuk kantor kangen pakai ragam kantor ayolaaahhh ,Negatif
-1,wfh bln tibatiba skandal artis korea kenal dunia drakor wkwkwkw buah capai,Negatif
-1,iya wfh masuk batas orang ruang bang,Negatif
0,kagak wfh,Netral
0, kaaann typo wfh maksud,Netral
0,selamat pagi semangat pagi kayangan panas ehott euyy suek absen wfh grup waenggak tau libur pantesan diketawain bos jemur yuk ah salam sehat lupa ,Netral
1, besok masiii masuk apaapa untung wfh he he he,Positif
0,kaya cs teknisi wfh benerin,Netral
-5,sumpah ya erti lamalama ku kasihan susah wfhorangorang study abroadkerja takut susah payah usaha eh tautau diijinin masuk garagara tau indonesia covidnya selesai parah,Negatif
0,besok masuk wfh jadwal rapat via zoom ,Netral
-3, ya akun ig akses foto video post kesel sedih ya post fotofoto wfh objek foto,Negatif
0,wfh bayar ,Netral
1,min minal aidzin tulus benerin ayan bikin gaisa wfh tenang fyi sar suruh restart router gumoh baca,Positif
0,late post event wfh ikimasujogja foto by gedung pkkh,Netral
-1, mentang wfh pakai ragam sok ngide ya,Negatif
1, jatah wfh untung,Positif
0,besok suruh masuk wfh bagibagi thr po,Netral
-1, wfh cuman rumah rebahaann heuehehheheh,Negatif
-2,ah ca bohong wfh ge angger kau kantor kerja dikerjain rumah,Negatif
-1,heheenggak sangka madam warga negara filipina indonesia usaha wfh bingung badan sakit yuk pijatsilakan pijat pijat persembahkn hoby pijat,Negatif
0, akibat wfh,Netral
-1,ayuuuu tolong tolongggg minggu semenjak wfh mengepoi lee joon cakep ya hihi,Negatif
-5,semenjak wfh muka kusam jerawat henti ya skincare debu jalananbiasanya bawa motor keliling gin jerawat,Negatif
0,hmmmm talah tinuuusss wfh kyok e,Netral
-2,ohhh wfh stand by apaapa kantor doang rumah ditanyain orang pulang,Negatif
0,huaa pengin huhu nanggung sebel kak wfh,Netral
-1,indak protes kon wfh layap,Negatif
-1,teman nyokap omong wfh beli harga bi,Negatif
0,wfh day xxxxxxx bm beli daster lucu,Netral
1,super productive wfh uwu mas masaya kung maghahang laptop o yey gujab self,Positif
-1,gajadi beli potong hahaudah kerja capek gadapet wfh bunuh ,Negatif
0,monggo 'rame free delivery loh area semarang kitar hotel ciputra semarang,Netral
-2, tuju pakai pola pandang beda sadar orangorang purapura duit ngebert mall purapura wfh pulang kampung wtf,Negatif
0,nakakaqiqil wala pinipiling oras ung wfh,Netral
-1, kali isi kuesioner kasih ovo kaya teliti postur wfh bu indri deh wkwkw alhamdulilahhh,Negatif
-2,tuh nilai estetika foto sulit ,Negatif
0,demiiiii pengin bernafas lega lebaran eh kena php total wfh cum,Netral
-2,saking wfh lupa jalan ngantor,Negatif
-1,saking wfh sadar otw lebaran,Negatif
-1,ha ya wfh,Negatif
1, wfh marathon isekai tonton sao overlord slime tunggu season gate konosuba smartphone overly cautious hero gun gale kenja no mago saran anime genre isekai ,Positif
1, seexcited masuk kerja tanggal juni eh email wfh juli sungguh tahap jenuh self quarantine coronces coronces pergi,Positif
1, ngurangin nasi buah gayakin tahan on duty field thanks wfh,Positif
-1,gapapa tanggal merah pusing wfh gapapa obat thr cair utuh,Negatif
0, lebaran wfh lembur utsss,Netral
-2, wfh pagi magrib susah lepas laptop kerja zoom kerja zoom,Negatif
-1, pusing wfh,Negatif
1,patut coba gais greentea kafe es kopi soklat janjiw wfh riset minum,Positif
-1, kuat lindung lemah damai hidup damping arti bekerjaproduktifdagang jalan protokol ketat sehat lemahkurang sehattua kecuali pekerjaanwfh dst tutup masyarakat ngeyelan ,Negatif
-4,iya pelihara boongan ya anak manusia ya brojol horny wajar pamer hamil wfh seram ,Negatif
-1,oke besok jumat sabtu cuti masuk wfh wfh ku jatah kamis libur nasional jatah wfh hangus kemarin jadwal piket tau libur jatah libur hangus kian,Negatif
3,hebat ya orangorang mood bikin kue lebaran kasi libur wfh nemu kasur rebah alhamdulillah sekal,Positif
-5,besok kantor wfh moga lupa jalan kantor kereta pakai sepatu lupa obrol orang,Negatif
-1, wfh kali coba online class kali kelas pitching komik ambil tau pitching wa ikutikutan niat pengin ajar ilmu nyata oh maksud tugas tema pitching kelabak nice deh sok tau nyoba,Negatif
0,normal kerja gb paket pasca bayar habis wfh gb minggu,Netral
-3, sakit gigi panas dalemsariawan eh kemarin makan samyang mules kepala gua pusing garagara kena gerimis semalem habis sahur gua tidur untung wfh yaallah,Negatif
-1, masuk kantor jujur batin mental lepas wfh,Negatif
1,wfh nggaperna obrol instagram terima kasih instagram,Positif
0,lo otw e anjir moro wes nak omah wfh ogak prei lebaran,Netral
-2, kabar ya min masuk lho minmesti adu ya hadap wfh ,Negatif
1, daerah cilandak busyet no langgan wfh bos janji mbps mentok untung ganggu ya,Positif
2,janji speed mbps mentok top untung ganggu terussss wfh tolong pindah provider ,Positif
-1,waj jaga percaya konsumen yaini wfh down janjiin speed mbps mentok hitung ganggu terushari ganggu tolong wilayah cilandak,Negatif
0,hehe yuk join biar bedak wfh libur,Netral
-1, wfh masuk kerja pakai jadwal minggu x masuk huhu senin jumat masuk wfh ya,Negatif
-3, beli bd ps biar bosan wfh stay rumah psbb itung aktif jalan program pemerintah,Negatif
-2,meanwhile japan during this pandemic there a coronarikon orang coronadivorce term lololololol shit alesannya stres lihat muka pasang wfh,Negatif
0, enak cahrekguys wfh syukur wfh duit kantor asih thr toko mati t,Netral
0,selo pung wfh ,Netral
0, wfh bank tutup habis lebaran masuk normal kagak wfh wfh an ,Netral
-3,ya mah mending wfh su mending krja susah sehat kluarg cari mati gusti nu agung punten sleding eta jelema nu belegug,Negatif
-1,iya caa ajuk cuti selasa masup fufufu lu wfh ya,Negatif
-2, bosan belanja online ya gansis pm detail,Negatif
-1,semangat ya gaeslebaran bentar ,Negatif
0, rebah hyung habis wfh ,Netral
0, mlai wfh,Netral
-1,berita fsrd aji ramadhan wfh pandemik covid fakultas seni rupa desain laksana aji ramadhan daring aplikasi zoom kamis mei,Negatif
-1,berita ftke aji rutin minggu majelis ta'lim azzahra ftke wfh pandemi covid majelis ta'lim azzahra ftke adakan aji rutin jumat jam daring media aplikasi zoom,Negatif
-1, lockdown karantina wfh ya dimaklumin deh korona negatif istri positif,Negatif
-1,min suai arah pym presiden alat transportasi gerak mudik mudik wfh ,Negatif
-1,crito sitik ah sono ki konco lanang wis nikah wing bojone lahir posisi dek neng jakarta bojone neng malang meh ngancani bojone lahir ra isoh seko kantor ra iso mergo kudu wfh bla bla larang mudik saiki wis umur anak ,Negatif
0,besok pending gapapa mending wfo wfh,Netral
-2, wfh kali gendut kayak orang turun kg,Negatif
2,hmm rukun n habis asyik asyik rupa wfh,Positif
-3,job hunting jam jiwa lelah cek overtime posisi overtime bayar kondisi normal wfh overtime seringsampai subuhdibayar separuhnyaauto cari ,Negatif
0,covid corona pandemi wfh lockdown psbb klb odp pdp apd rapid test swap test familiar istilah ,Netral
2, asih tau hobi tiktokan aplikasi myxl beli paket xtra kuota khusus tiktokxl bikin wfh asik rb tiktokan xtra kuotad gb jam pakai loh terima kasih xl nemenin ,Positif
0,kantor wfh normal pandemi okesip libur pulang ,Netral
1, kirim release undang mediamedia asing indonesia topik hangat tarik sorot,Positif
-1, takut jujur lamalama orang makan wfh lamalama stok makan sembako habis duit beli ,Negatif
0, wfh harihari submit tender kena office tender dateline esokhuhu,Netral
0, wfh ngantukan i love ,Netral
0,waahh senang dengernya pesan kak tau idam wfh,Netral
0, habis lebaran kantor operasi no wfh ,Netral
0,kangen kantor pokok wfh enak dandan buru mandi,Netral
0,laaah wfh,Netral
1,lagu crush cocok wfh overthinking ,Positif
-2, imbas corona wfh ya anakanak entar edukasi ambil jurus sehat pokok sesal,Negatif
0,lahkenapa kali wfh je,Netral
-2,sia wfh lokdaun rumah biar kumpul pasar mall sholat masjid berik longgar kagak mending kemarin pinjem polpp india gebugin,Negatif
0,sante yong santewfh kayak ,Netral
-2, alas biar disalahkn jls salah henti sebar virusx karakter rakyat pimpinanx konsisten atur sia wfh hslx,Negatif
0, besok masuk wfh hehehe hello cuti batal,Netral
2, maret kali menteri bijak wfh asn,Positif
1,inimah covid bikin tinggal wfh hamil yowes imbang ,Positif
-3,dengar cerita member bini frontliners pancit nak jaga anak orang wfh kena share laptop anak nak kelas nak kerja member salesman kereta kereta stop production gaji komisyen sales h sakit,Negatif
-2,ya ngana wuhan latih corona mikir atuh mikiiirrrr badan kantor otak wfh,Negatif
0, shel moga semangat wfh kosan ya biar waras mon maaf foto kah,Netral
0,new faves wfh paket fetuccininya huhuhu enak pakai kode promo ,Netral
0, eh deng wfh lebaran beres ,Netral
0,wfh until september,Netral
0,ryo kaori ngganggurnya wfh wfh city hunter kerja,Netral
-2, periode wfh ngulang gta vice city s andreas main ya,Negatif
1, wfh hidup dunia maya,Positif
0,sugan teh maneh wfh kitu bikin kopi rumah pesan via zoom,Netral
0, shifting masuk wfh masuk kantor kasih susuvitamin,Netral
0, kerja kamar wfh,Netral
-2,muka hancur jerawat wfh badan mengendat,Negatif
0, bikin tutorial makan makan gizi wfh berat badan makan enak sehat,Netral
0,wfh kelar tanggal mei tau kagak kantor masuk bangun pagi mandi n berangkat huft suka wfh walopun indak suka corona,Netral
-4,ya allah musim wfh mbak deh ngadepin kerja rumah kudu sabar nemenin anak ajar andai langsung jelma kayak uma nusa rara ya mbak,Negatif
0,belummm haritu rushing wfh benda tinggal,Netral
0,wfh early release for raya uhuk,Netral
0,sar wfh tunggu next semester henti and sambung intern uitm,Netral
0,bos plan wfh tiada update repeat next m still ganti baki minggu tinggal,Netral
-1, wfh lupa engah bentar juni ultahnya jinhyuk,Negatif
0,wkwkwkw selin wesi wfh ,Netral
1, prediksi hasil positif ambil wfh,Positif
0, wfh pengin rasai bangun ashar ,Netral
0,fix gerak wfh wkwkw,Netral
0,balqis task wfh sentuh langsung haahha,Netral
0,nok kijo dok task wfh sentuh yaaaaa,Netral
0,alamaaaak ribu hamil rencana indonesia work from home,Netral
0, wfh ,Netral
0,wfh unpaid leave ready on call seninjumat bos kasih tugas ngerusuhin grup kantor habis buka puasa masuk subuh,Netral
